Name,Years,Position,Party,State,Congress,Link
"JONES, Thomas Laurens",1819-1887,Representative,Democrat,KY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000253
"JOYCE, Charles Herbert",1830-1916,Representative,Republican,VT,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000275
"KASSON, John Adam",1822-1910,Representative,Republican,IA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000018
"KEHR, Edward Charles",1837-1918,Representative,Democrat,MO,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000047
"KELLEY, William Darrah",1814-1890,Representative,Republican,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000062
"KELLY, James Kerr",1819-1903,Senator,Democrat,OR,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000074
"KERNAN, Francis",1816-1892,Senator,Democrat,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000133
"KERR, Michael Crawford",1827-1876,Representative,Democrat,IN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000143
 ,,Speaker of the House,Democrat,US,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000143
"KETCHUM, Winthrop Welles",1820-1879,Representative,Republican,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000154
"KEY, David McKendree",1824-1900,Senator,Democrat,TN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000156
"KIDDER, Jefferson Parish",1815-1883,Delegate,Republican,DK,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000164
"KIMBALL, Alanson Mellen",1827-1913,Representative,Republican,WI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000182
"KING, William Smith",1828-1900,Representative,Republican,MN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000218
"KNOTT, James Proctor",1830-1911,Representative,Democrat,KY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000290
"LA DOW, George Augustus",1826-1875,Representative,Democrat,OR,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000002
"LAMAR, Lucius Quintus Cincinnatus",1825-1893,Representative,Democrat,MS,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000030
"LANDERS, Franklin",1825-1901,Representative,Democrat,IN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000046
"LANDERS, George Marcellus",1813-1895,Representative,Democrat,CT,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000047
"LANE, La Fayette",1842-1896,Representative,Democrat,OR,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000064
"LAPHAM, Elbridge Gerry",1814-1890,Representative,Republican,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000092
"LAWRENCE, William",1819-1899,Representative,Republican,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000140
"LE MOYNE, John Valcoulon",1828-1918,Representative,Democrat,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000162
"LEAVENWORTH, Elias Warner",1803-1887,Representative,Republican,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000182
"LEVY, William Mallory",1827-1882,Representative,Democrat,LA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000269
"LEWIS, Burwell Boykin",1838-1885,Representative,Democrat,AL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000272
"LOGAN, John Alexander",1826-1886,Senator,Republican,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000403
"LORD, Scott",1820-1885,Representative,Democrat,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000442
"LUTTRELL, John King",1831-1893,Representative,Democrat,CA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000522
"LYNCH, John Roy",1847-1939,Representative,Republican,MS,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000533
"LYNDE, William Pitt",1817-1885,Representative,Democrat,WI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000538
"MacDOUGALL, Clinton Dugald",1839-1914,Representative,Republican,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000007
"MACKEY, Edmund William McGregor",1846-1884,Representative,Independent Republican,SC,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000024
"MACKEY, Levi Augustus",1819-1889,Representative,Democrat,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000025
"MAGINNIS, Martin",1841-1919,Delegate,Democrat,MT,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000050
"MAGOON, Henry Sterling",1832-1889,Representative,Republican,WI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000054
"MAISH, Levi",1837-1899,Representative,Democrat,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000072
"MAXEY, Samuel Bell",1825-1895,Senator,Democrat,TX,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000265
"McCRARY, George Washington",1835-1890,Representative,Republican,IA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000379
"McCREERY, Thomas Clay",1816-1890,Senator,Democrat,KY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000385
"McDILL, James Wilson",1834-1894,Representative,Republican,IA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000407
"McDONALD, Joseph Ewing",1819-1891,Senator,Democrat,IN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000412
"McFARLAND, William",1821-1900,Representative,Democrat,TN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000439
"McMAHON, John A.",1833-1923,Representative,Democrat,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000561
"McMILLAN, Samuel James Renwick",1826-1897,Senator,Republican,MN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000570
"MEADE, Edwin Ruthven",1836-1889,Representative,Democrat,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000616
"MERRIMON, Augustus Summerfield",1830-1892,Senator,Democrat,NC,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000659
"METCALFE, Henry Bleecker",1805-1881,Representative,Democrat,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000673
"MILLER, Samuel Franklin",1827-1892,Representative,Republican,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000752
"MILLIKEN, Charles William",1827-1915,Representative,Democrat,KY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000768
"MILLS, Roger Quarles",1832-1911,Representative,Democrat,TX,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000777
"MITCHELL, John Hipple",1835-1905,Senator,Republican,OR,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000818
"MONEY, Hernando De Soto",1839-1912,Representative,Democrat,MS,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000854
"MONROE, James",1821-1898,Representative,Republican,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000857
"MOREY, Frank",1840-1890,Representative,Republican,LA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000942
"MORGAN, Charles Henry",1842-1912,Representative,Democrat,MO,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000944
"MORRILL, Justin Smith",1810-1898,Senator,Republican,VT,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000969
"MORRILL, Lot Myrick",1813-1883,Senator,Republican,ME,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000970
"MORRISON, William Ralls",1824-1909,Representative,Democrat,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001000
"MORTON, Oliver Hazard Perry Throck",1823-1877,Senator,Republican,IN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001020
"MUTCHLER, William",1831-1893,Representative,Democrat,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001125
"NASH, Charles Edmund",1844-1913,Representative,Republican,LA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000008
"NEAL, Lawrence Talbot",1844-1905,Representative,Democrat,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000014
"NEW, Jeptha Dudley",1830-1892,Representative,Democrat,IN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000060
"NORTON, Nelson Ira",1820-1887,Representative,Republican,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000155
"NORWOOD, Thomas Manson",1830-1913,Senator,Democrat,GA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000160
"O'BRIEN, William James",1836-1905,Representative,Democrat,MD,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000017
"O'NEILL, Charles",1821-1893,Representative,Republican,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000093
"ODELL, Nathaniel Holmes",1828-1904,Representative,Democrat,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000038
"OGLESBY, Richard James",1824-1899,Senator,Republican,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000048
"OLIVER, Samuel Addison",1833-1912,Representative,Republican,IA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000076
"PACKER, John Black",1824-1891,Representative,Republican,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000008
"PADDOCK, Algernon Sidney",1830-1897,Senator,Republican,NE,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000010
"PAGE, Horace Francis",1833-1890,Representative,Republican,CA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000017
"PARSONS, Edward Young",1842-1876,Representative,Democrat,KY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000087
"PATTERSON, John James",1830-1912,Senator,Republican,SC,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000123
"PATTERSON, Thomas MacDonald",1839-1916,Delegate,Democrat,CO,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000130
"PAYNE, Henry B.",1810-1896,Representative,Democrat,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000151
"PHELPS, James",1822-1900,Representative,Democrat,CT,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000295
"PHILIPS, John Finis",1834-1919,Representative,Democrat,MO,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000304
"PHILLIPS, William Addison",1824-1893,Representative,Republican,KS,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000315
"PIERCE, Henry Lillie",1825-1896,Representative,Republican,MA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000335
"PIPER, William Adam",1826-1899,Representative,Democrat,CA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000364
"PLAISTED, Harris Merrill",1828-1898,Representative,Republican,ME,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000374
"PLATT, Thomas Collier",1833-1910,Representative,Republican,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000383
"POPPLETON, Earley Franklin",1834-1899,Representative,Democrat,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000434
"POTTER, Allen",1818-1885,Representative,Democrat,MI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000459
"POWELL, Joseph",1828-1904,Representative,Democrat,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000480
"PRATT, Henry Otis",1838-1931,Representative,Republican,IA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000501
"PRICE, Samuel",1805-1884,Senator,Democrat,WV,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000530
"PURMAN, William James",1840-1928,Representative,Republican,FL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000572
"RAINEY, Joseph Hayne",1832-1887,Representative,Republican,SC,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000016
"RANDALL, Samuel Jackson",1828-1890,Speaker of the House,Democrat,US,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000039
 ,,Representative,Democrat,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000039
"RANDOLPH, Theodore Fitz",1826-1883,Senator,Democrat,NJ,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000050
"RANSOM, Matt Whitaker",1826-1904,Senator,Democrat,NC,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000062
"REA, David",1831-1901,Representative,Democrat,MO,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000088
"REAGAN, John Henninger",1818-1905,Representative,Democrat,TX,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000098
"REILLY, James Bernard",1845-1924,Representative,Democrat,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000153
"REILLY, John",1836-1904,Representative,Democrat,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000154
"RICE, Americus Vespucius",1835-1904,Representative,Democrat,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000194
"RIDDLE, Haywood Yancey",1834-1879,Representative,Democrat,TN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000240
"ROBBINS, John",1808-1880,Representative,Democrat,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000301
"ROBBINS, William McKendree",1828-1905,Representative,Democrat,NC,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000302
"ROBERTS, Charles Boyle",1842-1899,Representative,Democrat,MD,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000306
"ROBERTSON, Thomas James",1823-1897,Senator,Republican,SC,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000327
"ROBINSON, Milton Stapp",1832-1892,Representative,Republican,IN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000349
"ROSS, Miles",1827-1903,Representative,Democrat,NJ,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000452
"ROSS, Sobieski",1828-1877,Representative,Republican,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000454
"RUSK, Jeremiah McLain",1830-1893,Representative,Republican,WI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000517
"SAMPSON, Ezekiel Silas",1831-1892,Representative,Republican,IA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000025
"SARGENT, Aaron Augustus",1827-1887,Senator,Republican,CA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000065
"SAULSBURY, Eli",1817-1893,Senator,Democrat,DE,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000072
"SAVAGE, John Simpson",1841-1884,Representative,Democrat,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000084
"SAYLER, Milton",1831-1892,Representative,Democrat,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000101
"SCALES, Alfred Moore",1827-1892,Representative,Democrat,NC,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000103
"SCHLEICHER, Gustave",1823-1879,Representative,Democrat,TX,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000129
"SCHUMAKER, John Godfrey",1826-1905,Representative,Democrat,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000147
"SEELYE, Julius Hawley",1824-1895,Representative,Independent,MA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000225
"SHARON, William",1821-1885,Senator,Republican,NV,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000292
"SHEAKLEY, James",1829-1917,Representative,Democrat,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000313
"SHERMAN, John",1823-1900,Senator,Republican,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000346
"SINGLETON, Otho Robards",1814-1889,Representative,Democrat,MS,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000445
"SINNICKSON, Clement Hall",1834-1919,Representative,Republican,NJ,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000447
"SLEMONS, William Ferguson",1830-1918,Representative,Democrat,AR,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000484
"SMALLS, Robert",1839-1915,Representative,Republican,SC,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000502
"SMITH, Abraham Herr",1815-1894,Representative,Republican,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000509
"SMITH, William Ephraim",1829-1890,Representative,Democrat,GA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000631
"SOUTHARD, Milton Isaiah",1836-1905,Representative,Democrat,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000688
"SPARKS, William Andrew Jackson",1828-1904,Representative,Democrat,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000704
"SPENCER, George Eliphaz",1836-1893,Senator,Republican,AL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000723
"SPENCER, William Brainerd",1835-1882,Representative,Democrat,LA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000731
"SPRINGER, William McKendree",1836-1903,Representative,Democrat,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000757
"STANTON, William Henry",1843-1900,Representative,Democrat,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000807
"STARKWEATHER, Henry Howard",1826-1876,Representative,Republican,CT,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000815
"STEELE, William Randolph",1842-1901,Delegate,Democrat,WY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000840
"STENGER, William Shearer",1840-1918,Representative,Democrat,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000849
"STEPHENS, Alexander Hamilton",1812-1883,Representative,Democrat,GA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000854
"STEVENS, Hiram Sanford",1832-1893,Delegate,Democrat,AZ,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000880
"STEVENSON, Adlai Ewing",1835-1914,Representative,Democrat,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000889
"STEVENSON, John White",1812-1886,Senator,Democrat,KY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000894
"STONE, William Henry",1828-1901,Representative,Democrat,MO,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000967
"STOWELL, William Henry Harrison",1840-1922,Representative,Republican,VA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000985
"STRAIT, Horace Burton",1835-1894,Representative,Republican,MN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000988
"SWANN, Thomas",1809-1883,Representative,Democrat,MD,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001092
"TARBOX, John Kemble",1838-1887,Representative,Democrat,MA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000041
"TEESE, Frederick Halstead",1823-1894,Representative,Democrat,NJ,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000111
"TELLER, Henry Moore",1830-1914,Senator,Republican,CO,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000116
"TERRY, William",1824-1888,Representative,Democrat,VA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000136
"THOMAS, Philip Francis",1810-1890,Representative,Democrat,MD,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000182
"THOMPSON, Charles Perkins",1827-1894,Representative,Democrat,MA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000195
"THORNBURGH, Jacob Montgomery",1837-1890,Representative,Republican,TN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000239
"THROCKMORTON, James Webb",1825-1894,Representative,Democrat,TX,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000246
"THURMAN, Allen Granberry",1813-1895,Senator,Democrat,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000251
"TOWNSEND, Martin Ingham",1810-1903,Representative,Republican,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000336
"TOWNSEND, Washington",1813-1894,Representative,Republican,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000337
"TUCKER, John Randolph",1823-1897,Representative,Democrat,VA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000401
"TUFTS, John Quincy",1840-1908,Representative,Republican,IA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000406
"TURNEY, Jacob",1825-1891,Representative,Democrat,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000431
"VAN VORHES, Nelson Holmes",1822-1882,Representative,Republican,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000064
"VANCE, John Luther",1839-1921,Representative,Democrat,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000016
"VANCE, Robert Brank",1828-1899,Representative,Democrat,NC,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000019
"WADDELL, Alfred Moore",1834-1912,Representative,Democrat,NC,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000002
"WADLEIGH, Bainbridge",1831-1891,Senator,Republican,NH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000009
"WAIT, John Turner",1811-1899,Representative,Republican,CT,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000025
"WALDRON, Henry",1819-1880,Representative,Republican,MI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000041
"WALKER, Charles Christopher Brainerd",1824-1888,Representative,Democrat,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000047
"WALKER, Gilbert Carlton",1833-1885,Representative,Democrat,VA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000054
"WALLACE, Alexander Stuart",1810-1893,Representative,Republican,SC,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000074
"WALLACE, John Winfield",1818-1889,Representative,Republican,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000079
"WALLACE, William Andrew",1827-1896,Senator,Democrat,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000084
"WALLING, Ansel Tracy",1824-1896,Representative,Democrat,OH,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000091
"WALLS, Josiah Thomas",1842-1905,Representative,Republican,FL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000093
"WALSH, William",1828-1892,Representative,Democrat,MD,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000106
"WARD, Elijah",1816-1882,Representative,Democrat,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000131
"WARNER, Levi",1831-1911,Representative,Democrat,CT,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000155
"WARREN, William Wirt",1834-1880,Representative,Democrat,MA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000168
"WATTERSON, Henry",1840-1921,Representative,Democrat,KY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000209
"WELLS, Erastus",1823-1893,Representative,Democrat,MO,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000282
"WELLS, Guilford Wiley",1840-1909,Representative,Independent Republican,MS,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000283
"WEST, Joseph Rodman",1822-1898,Senator,Republican,LA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000303
"WHEELER, William Almon",1819-1887,Representative,Republican,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000341
"WHITE, John Daugherty",1849-1920,Representative,Republican,KY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000381
"WHITEHOUSE, John Osborne",1817-1881,Representative,Democrat,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000405
"WHITING, Richard Henry",1826-1888,Representative,Republican,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000416
"WHITTHORNE, Washington Curran",1825-1891,Representative,Democrat,TN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000429
"WHYTE, William Pinkney",1824-1908,Senator,Democrat,MD,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000435
"WIGGINTON, Peter Dinwiddie",1839-1890,Representative,Democrat,CA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000449
"WIKE, Scott",1834-1901,Representative,Democrat,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000451
"WILLARD, George",1824-1901,Representative,Republican,MI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000479
"WILLIAMS, Alpheus Starkey",1810-1878,Representative,Democrat,MI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000487
"WILLIAMS, Andrew",1828-1907,Representative,Republican,NY,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000488
"WILLIAMS, Charles Grandison",1829-1892,Representative,Republican,WI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000492
"WILLIAMS, James",1825-1899,Representative,Democrat,DE,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000506
"WILLIAMS, James Douglas",1808-1880,Representative,Democrat,IN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000507
