Name,Years,Position,Party,State,Congress,Link
"BURCHARD, Horatio Chapin",1825-1908,Representative,Republican,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001070
"BURCHARD, Samuel Dickinson",1836-1901,Representative,Democrat,WI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001071
"BURLEIGH, John Holmes",1822-1877,Representative,Republican,ME,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001107
"BURNSIDE, Ambrose Everett",1824-1881,Senator,Republican,RI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001130
"BUTTZ, Charles Wilson",1837-1913,Representative,Republican,SC,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001202
"CABELL, George Craighead",1836-1906,Representative,Democrat,VA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000004
"CALDWELL, John Henry",1826-1902,Representative,Democrat,AL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000035
"CALDWELL, William Parker",1832-1903,Representative,Democrat,TN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000041
"CAMERON, Angus",1826-1897,Senator,Republican,WI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000064
"CAMERON, Simon",1799-1889,Senator,Republican,PA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000068
"CAMPBELL, Alexander",1814-1898,Representative,Independent,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000075
"CANDLER, Milton Anthony",1837-1909,Representative,Democrat,GA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000112
"CANNON, George Quayle",1827-1901,Delegate,Republican,UT,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000119
"CANNON, Joseph Gurney",1836-1926,Representative,Republican,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000121
"CAPERTON, Allen Taylor",1810-1876,Senator,Democrat,WV,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000130
"CARR, Nathan Tracy",1833-1885,Representative,Democrat,IN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000179
"CASON, Thomas Jefferson",1828-1901,Representative,Republican,IN,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000232
"CASWELL, Lucien Bonaparte",1827-1919,Representative,Republican,WI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000245
"CATE, George Washington",1825-1905,Representative,Democrat,WI,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000248
"CAULFIELD, Bernard Gregory",1828-1887,Representative,Democrat,IL,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000255
"CHAFFEE, Jerome Bunty",1825-1886,Senator,Republican,CO,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000271
"CHAPIN, Chester William",1798-1883,Representative,Democrat,MA,44(1875-1876),http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000305
